Mesh ID,Generic name,Common name,Synonyms,Tree
D000037,Abruptio Placentae,Abruptio Placentae,"Abruptions, Placental|Abruption, Placental|Placental Abruption|Placental Abruptions|Abruptio Placentae",C12.050.703.420.078|C12.050.703.590.132
D004653,Abscess,Abscess,Abscess|Abscesses,C01.830.025|C23.550.470.756.100
D000039,Peritonsillar Abscess,Peritonsillar Abscess,"Peritonsillar Abscesses|Abscesses, Peritonsillar|Peritonsillar Abscess|Abscess, Peritonsillar",C08.730.561.750.500|C09.775.649.750.500|C01.748.561.750.500|C07.550.781.750.500|C01.830.025.675
D000051,Acantholysis,Acantholysis,Acantholyses|Acantholysis,C23.550.035|C17.800.865.070
D000052,Acanthosis Nigricans,Acanthosis Nigricans,"Acanthosis Nigricans|Acanthosis Nigrican|Nigricans, Acanthosis|Nigrican, Acanthosis",C17.800.621.430.530.100
D005750,Achlorhydria,Achlorhydria,Achlorhydria|Achylia Gastrica|Hypochlorhydria,C06.405.748.045|C18.452.076.087
D051498,Achondroplasia,Achondroplasia,"SADDAN|Syndromes, Skeleton-Skin-Brain|Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans|Syndrome, Skeleton-Skin-Brain|SADDANs|Dysplasias, SADDAN|SADDAN Dysplasias|Severe Achondroplasia with Developmental Delay and Acanthosis Nigricans|Dysplasia, SADDAN|Achondroplasia|Skeleton Skin Brain Syndrome|Achondroplasias|SADDAN Dysplasia|Skeleton-Skin-Brain Syndrome|Skeleton-Skin-Brain Syndromes",C05.116.099.708.017|C16.320.240.500|C05.116.099.343.110
D000137,Acid-Base Imbalance,Acid-Base Imbalance,"Acid-Base Imbalances|Imbalance, Acid-Base|Imbalances, Acid-Base|Acid-Base Imbalance|Acid Base Imbalance",C18.452.076
D000138,Acidosis,Acidosis,"Acidosis|Metabolic Acidoses|Acidoses|Acidoses, Metabolic|Metabolic Acidosis|Acidosis, Metabolic",C18.452.076.176
D065906,"Acidosis, Lactic","Acidosis, Lactic","Acidosis, Lactic|Lactic Acidosis",C18.452.076.176.180
D000141,"Acidosis, Renal Tubular","Acidosis, Renal Tubular","Classic Distal Renal Tubular Acidosis|Renal Tubular Acidosis, Type II|Renal Tubular Acidosis I|RTAs, Proximal Type|Renal Tubular Acidosis|Renal Tubular Acidosis, Type I|Renal Tubular Acidosis, Distal, Autosomal Dominant|Gradient Type RTA|Acidosis, Renal Tubular, Type I|Renal Tubular Acidosis, Proximal|Classic Type RTA|Classic Type RTAs|Renal Tubular Acidosis II|Acidosis, Renal Tubular|Acidosis, Renal Tubular, Type II|Type II Renal Tubular Acidosis|Proximal Renal Tubular Acidosis|Proximal Type RTAs|Renal Tubular Acidosis 1|Renal Tubular Acidosis, Proximal, with Ocular Abnormalities|RTA, Proximal Type|RTAs, Classic Type|Proximal Type RTA|RTA, Classic Type|RTA, Gradient Type|Gradient Type RTAs|Type I Renal Tubular Acidosis|Distal Renal Tubular Acidosis|RTAs, Gradient Type|Autosomal Dominant Distal Renal Tubular Acidosis|RTA, Distal Type, Autosomal Dominant",C18.452.076.176.210|C12.050.351.968.419.815.093|C16.320.831.093|C12.200.777.419.815.093|C12.950.419.815.093
D000142,"Acidosis, Respiratory","Acidosis, Respiratory","Acidoses, Respiratory|Acidosis, Respiratory|Respiratory Acidosis|Respiratory Acidoses",C18.452.076.176.310|C08.618.846.093
D000151,Acinetobacter Infections,Acinetobacter Infections,"Infections, Acinetobacter|Infections, Mimae|Acinetobacter Infections|Infection, Acinetobacter|Infection, Mimae|Mimae Infections|Mimae Infection|Acinetobacter Infection",C01.150.252.400.560.022
D017497,Acne Vulgaris,Acne Vulgaris,Acne Vulgaris|Acne,C17.800.794.111|C17.800.030.150
D020209,Vestibulocochlear Nerve Diseases,Vestibulocochlear Nerve Diseases,"Acoustic Nerve Disorders|Neuritis, Cochlear|Cochlear Neuritis|Vestibulocochlear Nerve Diseases|Vestibulocochlear Nerve Disease|Vestibular Nerve Disease|Acoustic Nerve Diseases|Cochlear Nerve Disease|Vestibular Nerve Diseases|Cochlear Nerve Disorder|Vestibular Nerve Disorders|Vestibular Nerve Disorder|Cochlear Neuritides|Cranial Nerve VIII Disorders|Acoustic Nerve Disorder|Acoustic Nerve Disease|Neuritides, Cochlear|Cranial Nerve VIII Diseases|Eighth Cranial Nerve Diseases|Cochlear Nerve Disorders|Cochlear Nerve Diseases",C10.292.910|C09.218.807.800
D020943,Acquired Immunodeficiency Syndrome,Acquired Immunodeficiency Syndrome,"Acquired Immunodeficiency Syndromes|Acquired Immuno-Deficiency Syndrome|Immuno-Deficiency Syndrome, Acquired|Immunodeficiency Syndrome, Acquired|Syndrome, Acquired Immuno-Deficiency|Syndromes, Acquired Immuno-Deficiency|AIDS|Acquired Immunodeficiency Syndrome|Immunodeficiency Syndromes, Acquired|Acquired Immune Deficiency Syndrome|Acquired Immuno Deficiency Syndrome|Immunologic Deficiency Syndrome, Acquired|Immuno-Deficiency Syndromes, Acquired|Syndromes, Acquired Immunodeficiency|Syndrome, Acquired Immunodeficiency|Acquired Immuno-Deficiency Syndromes",C20.673.480.040|C01.925.839.040|C12.100.937.640.400.040|C01.221.250.875.040|C01.925.813.400.040|C01.221.812.640.400.040|C01.778.640.400.040|C01.925.782.815.616.400.040
D051879,Acrocephalosyndactylia,Acrocephalosyndactylia,"Acrocephalosyndactyly, Type 3|Acrocephalosyndactylies, Type V|Pfeiffer Syndrome|Syndrome, Noack|Type I Acrocephalosyndactylies|Type I Acrocephalosyndactyly|Syndrome, Kurczynski Casperson|Acrocephalosyndactyly, Type II|Noack Syndromes|Dysostosis Craniofacialis with Hypertelorism|Acrocephalosyndactylias|Type V Acrocephalosyndactylies|Acrocephalosyndactylies, Type I|Acrocephalosyndactylia|Acrocephalosyndactylies, Type 3|Syndactylic Oxycephaly|Acrocephalosyndactyly III|Disease, Apert-Crouzon|Acrocephalosyndactylies, Type III|Syndrome, Saethre-Chotzen|Kurczynski Casperson Syndrome|Acrocephalosyndactyly, Type V|Syndrome, Apert|Type III Acrocephalosyndactyly|Syndactylic Oxycephalies|Apert-Crouzon Disease|Syndrome, Chotzen|Syndromes, Noack|Acrocephalosyndactyly, Type I|Acrocephalosyndactyly IIIs|Saethre-Chotzen Syndrome|Acrocephalosyndactyly, Type III|Saethre Chotzen Syndrome|Noack Syndrome|Acrocephalosyndactyly, Type 1|Craniofacial-Skeletal-Dermatologic Dysplasia|Type II Acrocephalosyndactyly|Type II Acrocephalosyndactylies|Acrocephalosyndactylies, Type 1|Acrocephalosyndactylies, Type II|Acrocephaly, Skull Asymmetry, and Mild Syndactyly|Apert Crouzon Disease|Type V Acrocephalosyndactyly|Acrocephalosyndactyly (Apert)|Apert Syndrome|Chotzen Syndrome|Syndrome, Pfeiffer",C05.660.906.364.100|C05.660.207.240.100|C05.660.585.800.100|C16.131.621.906.364.100|C05.116.099.370.894.232.015|C16.131.621.207.240.100|C16.131.621.906.819.100|C05.116.099.370.894.819.100|C05.660.906.819.100|C16.131.621.585.800.100
D000169,Acrodermatitis,Acrodermatitis,"Childhood Papular Acrodermatitis|Syndrome, Erythemato-Vesiculo-Papulous Eruptive|Acrodermatitis Papulosa Infantums|Gianotti-Crosti Syndrome|Acrodermatitides|Syndrome, Acropapulo-Vesicular|Papular Acrodermatitis of Childhood|Infantile Papular Acrodermatitis|Acrodermatitis Papulosa Infantum|Syndromes, Acropapulo-Vesicular|Papulovesicular Acrolocated Syndrome|Acropapulo-Vesicular Syndrome|Acropapulo Vesicular Syndrome|Papular Acrodermatitides, Infantile|Syndrome, Gianotti-Crosti|Papular Acrodermatitis, Infantile|Acropapulo-Vesicular Syndromes|Erythemato-Vesiculo-Papulous Eruptive Syndrome|Childhood Papular Acrodermatitides|Acrodermatitis|Erythemato Vesiculo Papulous Eruptive Syndrome|Gianotti Crosti Syndrome|Erythemato-Vesiculo-Papulous Eruptive Syndromes|Infantile Papular Acrodermatitides|Papulovesicular Acrolocated Syndromes|Syndromes, Erythemato-Vesiculo-Papulous Eruptive|Syndromes, Papulovesicular Acrolocated",C17.800.174.100|C17.800.804.066|C16.131.831.066
D000170,Acrodynia,Acrodynia,"Feer's Disease|Erythema, Acrodynic|Acrodynia|Swifts Disease|Childhood Mercurialisms, Chronic|Swift's Disease|Feer Disease|Chronic Childhood Mercurialisms|Feers Disease|Childhood Mercurialism, Chronic|Acrodynic Erythema|Chronic Childhood Mercurialism|Mercurialism, Chronic Childhood|Pink Disease|Swift Disease",C10.668.829.025|C10.720.475.600.150|C25.723.522.875.500.100
D000172,Acromegaly,Acromegaly,"Somatotropin Hypersecretion Syndromes (Acromegaly)|Hypersecretion Syndrome, Somatotropin (Acromegaly)|Hypersecretion Syndromes, Somatotropin (Acromegaly)|Somatotropin Hypersecretion Syndrome (Acromegaly)|Syndrome, Somatotropin Hypersecretion (Acromegaly)|Inappropriate Growth Hormone Secretion Syndrome (Acromegaly)|Inappropriate GH Secretion Syndrome (Acromegaly)|Syndromes, Somatotropin Hypersecretion (Acromegaly)|Acromegaly",C19.700.355.179|C10.228.140.617.738.250.100|C05.116.132.082
D000182,"ACTH Syndrome, Ectopic","ACTH Syndrome, Ectopic","ACTH Syndrome, Ectopic|Syndrome, Ectopic ACTH|Ectopic ACTH Syndrome|Syndromes, Ectopic ACTH|ACTH Syndromes, Ectopic|Ectopic ACTH Syndromes",C04.730.713.317
D000187,Actinobacillosis,Actinobacillosis,Actinobacillosis|Actinobacilloses,C22.039|C01.150.252.400.700.030.178
D000189,Actinobacillus Infections,Actinobacillus Infections,"Infections, Actinobacillus|Infection, Actinobacillus|Actinobacillus Infection|Actinobacillus Infections",C01.150.252.400.700.030
D000193,Actinomycetales Infections,Actinomycetales Infections,"Infection, Actinomycete|Actinomycetales Infection|Actinomycete Infections|Actinomycetales Infections|Infections, Actinomycetales|Infection, Actinomycetales|Infections, Actinomycete|Actinomycete Infection",C01.150.252.410.040
D000196,Actinomycosis,Actinomycosis,"Actinomyces Infection|Actinomyces Infections|Actinomycosis|Actinomycoses|Infections, Actinomyces|Infection, Actinomyces",C01.150.252.410.040.137
D000197,"Actinomycosis, Cervicofacial","Actinomycosis, Cervicofacial","Actinomycosis, Cervicofacial",C01.800.720.110|C01.150.252.819.110|C17.800.838.765.110|C01.150.252.410.040.137.316
D000208,Acute Disease,Acute Disease,"Acute Disease|Diseases, Acute|Acute Diseases|Disease, Acute",C23.550.291.125
D000210,Acute-Phase Reaction,Acute-Phase Reaction,"Acute Phase State|State, Acute-Phase|Acute Phase Reaction|Phase Response, Acute|Acute-Phase State|Acute-Phase Response|Acute-Phase Reaction|Reaction, Acute-Phase|Reaction, Acute Phase|Acute Phase Response|Response, Acute-Phase|Response, Acute Phase|Acute Phase Responses",C23.550.470.099
D000219,Adams-Stokes Syndrome,Adams-Stokes Syndrome,"Stokes-Adams Syndrome|Adam Stokes Attacks|Stokes Adams Syndrome|Adams Stokes Syndrome|Syndrome, Stokes-Adams|Attacks, Stokes-Adams|Stokes-Adams Attacks|Stokes Adams Attacks|Attacks, Adam-Stokes|Syndrome, Adams-Stokes|Adams-Stokes Syndrome|Adam-Stokes Attacks",C23.550.073.425.025|C14.280.067.558.137|C14.280.123.500.137
D000224,Addison Disease,Addison Disease,"Adrenocortical Insufficiency, Primary|Insufficiencies, Primary Adrenocortical|Adrenocortical Insufficiencies, Primary|Disease, Addison|Primary Adrenal Insufficiency|Hypoadrenalism, Primary|Primary Hypoadrenalism|Addison's Disease|Primary Adrenocortical Insufficiencies|Addisons Disease|Adrenal Insufficiency, Primary|Addison Disease|Primary Adrenocortical Insufficiency|Hypoadrenalisms, Primary|Insufficiency, Primary Adrenocortical",C19.053.500.263|C20.111.163
D000230,Adenocarcinoma,Adenocarcinoma,"Adenocarcinomas, Granular Cell|Adenocarcinoma|Granular Cell Adenocarcinoma|Cribriform Carcinoma|Adenocarcinoma, Oxyphilic|Adenocarcinomas, Oxyphilic|Carcinomas, Granular Cell|Adenocarcinomas, Basal Cell|Adenocarcinoma, Basal Cell|Carcinomas, Tubular|Granular Cell Carcinoma|Adenomas, Malignant|Adenoma, Malignant|Malignant Adenoma|Adenocarcinoma, Granular Cell|Basal Cell Adenocarcinoma|Tubular Adenocarcinoma|Adenocarcinomas|Oxyphilic Adenocarcinoma|Adenocarcinoma, Tubular|Adenocarcinomas, Tubular|Tubular Adenocarcinomas|Carcinoma, Granular Cell|Granular Cell Adenocarcinomas|Tubular Carcinomas|Tubular Carcinoma|Basal Cell Adenocarcinomas|Oxyphilic Adenocarcinomas|Carcinoma, Cribriform|Granular Cell Carcinomas|Carcinomas, Cribriform|Cribriform Carcinomas|Carcinoma, Tubular|Malignant Adenomas",C04.557.470.200.025
D000231,"Adenocarcinoma, Papillary","Adenocarcinoma, Papillary","Adenocarcinoma, Papillary|Adenocarcinomas, Papillary|Papillary Adenocarcinomas|Papillary Adenocarcinoma",C04.557.470.200.025.085
D000232,Adenofibroma,Adenofibroma,Fibroadenosis|Adenofibroma|Adenofibromas,C04.557.450.565.590.595.050|C04.557.470.625.050
D000235,Adenolymphoma,Adenolymphoma,"Tumor, Warthin|Adenolymphomas|Papillary Cystadenoma Lymphomatosum|Adenolymphoma|Warthin Tumor|Cystadenoma Lymphomatosum, Papillary",C04.557.435.075
D000236,Adenoma,Adenoma,"Adenoma, Follicular|Adenoma, Papillary|Papillary Adenomas|Adenomas, Papillary|Adenoma, Monomorphic|Adenomas|Monomorphic Adenomas|Adenomas, Basal Cell|Trabecular Adenomas|Adenoma|Papillary Adenoma|Adenomas, Trabecular|Adenomas, Follicular|Basal Cell Adenomas|Follicular Adenoma|Adenoma, Trabecular|Adenoma, Microcystic|Trabecular Adenoma|Adenoma, Basal Cell|Adenomas, Monomorphic|Basal Cell Adenoma|Microcystic Adenomas|Adenomas, Microcystic|Monomorphic Adenoma|Follicular Adenomas|Microcystic Adenoma",C04.557.470.035
D010911,"Adenoma, Basophil","Adenoma, Basophil","Adenomas, Basophil|Basophilic Adenoma|Basophilic Adenomas|Basophil Adenomas|Adenoma, Basophil|Adenomas, Basophilic|Adenoma, Basophilic|Basophil Adenoma",C04.557.470.035.075|C04.557.465.625.650.075|C04.557.580.625.650.075
D010911,"Adenoma, Chromophobe","Adenoma, Chromophobe","Adenomas, Chromophobe|Adenoma, Chromophobe|Chromophobe Adenoma|Chromophobe Adenomas",C04.557.465.625.650.095|C04.557.470.035.095|C04.557.580.625.650.095
D010911,"Adenoma, Acidophil","Adenoma, Acidophil","Acidophil Adenomas|Adenoma, Eosinophil|Adenomas, Eosinophilic|Adenomas, Acidophilic|Eosinophilic Adenomas|Acidophilic Adenomas|Eosinophil Adenoma|Eosinophilic Adenoma|Adenoma, Eosinophilic|Acidophil Adenoma|Adenomas, Acidophil|Adenomas, Eosinophil|Eosinophil Adenomas|Adenoma, Acidophil|Adenoma, Acidophilic|Acidophilic Adenoma",C04.557.470.035.025|C04.557.465.625.650.025|C04.557.580.625.650.025
D000257,Adenoviridae Infections,Adenoviridae Infections,"Infections, Adenoviridae|Adenoviridae Infection|Infections, Adenovirus|Infection, Adenoviridae|Adenoviridae Infections|Adenovirus Infections|Adenovirus Infection|Infection, Adenovirus",C01.925.256.076
D000258,"Adenovirus Infections, Human","Adenovirus Infections, Human","Pharyngo Conjunctival Fever|Human Adenovirus Infection|Human Adenovirus Infections|Infection, Human Adenovirus|Adenovirus Infection, Human|Adenovirus Infections, Human|Infections, Human Adenovirus|Fever, Pharyngo-Conjunctival|Pharyngo-Conjunctival Fever",C01.925.256.076.045
D000267,Tissue Adhesions,Tissue Adhesions,"Adhesion, Tissue|Surgery-Induced Tissue Adhesions|Tissue Adhesion, Surgery-Induced|Tissue Adhesions, Surgery-Induced|Adhesions, Tissue|Surgery Induced Tissue Adhesions|Tissue Adhesion|Adhesion, Surgery-Induced Tissue|Adhesions, Surgery-Induced Tissue|Surgical Adhesions|Adhesion, Surgical|Tissue Adhesions|Surgical Adhesion|Surgery-Induced Tissue Adhesion|Adhesions, Surgical",C23.550.355.274.840
D000270,Adie Syndrome,Adie Syndrome,"Poorly Reacting Pupils|Holmes Adie Syndrome|Adie's Syndrome|Adie Syndrome|Syndrome, Adie|Syndrome, Adie's|Pupil, Poorly Reacting|Pupils, Poorly Reacting|Syndrome, Holmes-Adie|Holmes-Adie Syndrome|Poorly Reacting Pupil",C10.292.562.700.250|C11.710.800.180|C10.177.045|C11.590.436.200
D000274,Adiposis Dolorosa,Adiposis Dolorosa,"Tissue Rheumatisms, Adipose|Adiposalgias|Adiposalgia|Anders Syndrome|Dolorosa, Lipomatosis|Adipose Tissue Rheumatisms|Dercums, Morbus|Lipomatosis Dolorosas|Dercum Disease|Lipomatosis Dolorosa|Decum Vitaut Syndrome|Anders Syndromes|Syndrome, Anders|Syndrome, Ander's|Rheumatisms, Adipose Tissue|Syndrome, Decum-Vitaut|Dercum's Disease|Ander's Syndrome|Dercum, Morbus|Syndromes, Anders|Disease, Dercum's|Adipose Tissue Rheumatism|Decum-Vitaut Syndrome|Dolorosas, Lipomatosis|Morbus Dercums|Disease, Dercum|Dercums Disease|Tissue Rheumatism, Adipose|Adiposis Dolorosa|Ander Syndrome|Morbus Dercum|Rheumatism, Adipose Tissue",C17.800.463.249|C18.452.584.718.500
D000291,Adnexal Diseases,Adnexal Diseases,"Adnexal Disease|Diseases, Adnexal|Disease, Adnexal|Adnexal Diseases",C12.050.351.500.056|C12.100.250.056
D000292,Pelvic Inflammatory Disease,Pelvic Inflammatory Disease,"Disease, Inflammatory Pelvic|Inflammatory Pelvic Diseases|Adnexitis|Pelvic Inflammatory Disease|Pelvic Disease, Inflammatory|Inflammatory Pelvic Disease|Disease, Pelvic Inflammatory|Inflammatory Disease, Pelvic|Diseases, Inflammatory Pelvic|Pelvic Inflammatory Diseases|Inflammatory Diseases, Pelvic|Pelvic Diseases, Inflammatory|Diseases, Pelvic Inflammatory",C12.100.250.056.750|C01.635.500|C12.050.351.500.056.750
D000303,Adrenal Cortex Diseases,Adrenal Cortex Diseases,"Disease, Adrenal Cortex|Diseases, Adrenal Cortex|Adrenal Cortex Diseases|Adrenal Cortex Disease|Cortex Disease, Adrenal|Cortex Diseases, Adrenal",C19.053.098
D000306,Adrenal Cortex Neoplasms,Adrenal Cortex Neoplasms,"Neoplasms, Adrenal Cortex|Adrenocortical Cancers|Adrenocortical Cancer|Cancers, Adrenocortical|Adrenal Cortex Cancer|Cancer, Adrenocortical|Cancer of the Adrenal Cortex|Adrenal Cortex Cancers|Adrenal Cortex Neoplasm|Cancer of Adrenal Cortex|Neoplasm, Adrenal Cortex|Cancers, Adrenal Cortex|Adrenal Cortex Neoplasms|Cancer, Adrenal Cortex",C19.053.347.500|C04.588.322.078.265|C19.053.098.265|C19.344.078.265
D000307,Adrenal Gland Diseases,Adrenal Gland Diseases,"Adrenal Gland Disease|Disease, Adrenal Gland|Gland Disease, Adrenal|Gland Diseases, Adrenal|Diseases, Adrenal Gland|Adrenal Gland Diseases",C19.053
D017588,Adrenocortical Hyperfunction,Adrenocortical Hyperfunction,"Hyperfunction, Adrenal Gland|Hyperfunction, Adrenocortical|Hyperadrenocorticism|Hypercorticism|Hyperadrenalism|Adrenocortical Hyperfunction|Adrenal Gland Hyperfunction",C19.053.800
D000305,Adrenal Insufficiency,Adrenal Insufficiency,"Hypofunction, Adrenal Gland|Adrenal Insufficiency|Hypoadrenalism|Adrenal Gland Hypofunction|Adrenal Insufficiencies",C19.053.500
D000310,Adrenal Gland Neoplasms,Adrenal Gland Neoplasms,"Neoplasms, Adrenal Gland|Adrenal Cancers|Adrenal Cancer|Cancer of the Adrenal Gland|Adrenal Gland Neoplasms|Neoplasm, Adrenal|Cancer, Adrenal|Adrenal Neoplasms|Cancers, Adrenal|Adrenal Neoplasm|Adrenal Gland Cancers|Adrenal Gland Cancer|Cancers, Adrenal Gland|Cancer, Adrenal Gland|Adrenal Gland Neoplasm|Neoplasm, Adrenal Gland|Neoplasms, Adrenal",C19.053.347|C19.344.078|C04.588.322.078
D014770,"Adrenal Hyperplasia, Congenital","Adrenal Hyperplasia, Congenital","Adrenal Hyperplasias, Congenital|Congenital Adrenal Hyperplasias|Hyperplasia, Congenital Adrenal|Hyperplasias, Congenital Adrenal|Congenital Adrenal Hyperplasia|Adrenal Hyperplasia, Congenital",C16.320.033|C12.050.351.875.253.090.500|C19.053.440|C18.452.648.925.249|C19.391.119.090.500|C12.800.316.090.500|C16.320.565.925.249|C16.131.939.316.129.500|C12.200.706.316.090.500
D000314,Adrenal Rest Tumor,Adrenal Rest Tumor,"Tumor, Adrenal Rest|Tumors, Adrenal Rest|Rest Tumors, Adrenal|Adrenal Rest Tumors|Adrenal Rest Tumor|Rest Tumor, Adrenal|Adrenal Cortical Rest Tumor",C04.557.470.035.232
D018528,Adrenoleukodystrophy,Adrenoleukodystrophy,"X ALD (X Linked Adrenoleukodystrophy)|Adrenoleukodystrophy, X-Linked|X-ALD (X-Linked Adrenoleukodystrophy)|Siemerling-Creutzfeldt Disease|X-Linked Adrenoleukodystrophy|X Linked Adrenoleukodystrophy|Adrenoleukodystrophy|Schilder Addison Complex|Melanodermic Leukodystrophy|ALD (Adrenoleukodystrophy)|X-ALD|Adrenomyeloneuropathy|X ALD|Bronze Schilder Disease|Siemerling Creutzfeldt Disease|Leukodystrophies, Melanodermic|Addison Disease and Cerebral Sclerosis|Schilder-Addison Complex|Leukodystrophy, Melanodermic",C18.452.648.189.362.250|C16.320.565.663.100|C10.597.606.360.455.124|C16.320.565.189.084|C10.228.140.163.100.362.250|C16.320.322.500.124|C18.452.132.100.362.250|C18.452.648.663.100|C10.228.140.163.100.084|C10.314.400.250|C16.320.565.189.362.250|C19.053.500.270|C18.452.648.189.084|C18.452.132.100.084|C10.228.140.695.625.250|C16.320.400.525.124
D000334,Aerophagy,Aerophagy,"Aerophagy|Swallowing, Air|Air Swallowing",C23.888.821.061
D000343,Afferent Loop Syndrome,Afferent Loop Syndrome,"Syndrome, Afferent Loop|Afferent Loop Syndromes|Afferent Loop Syndrome|Loop Syndromes, Afferent|Loop Syndrome, Afferent|Syndromes, Afferent Loop",C06.405.469.531.099|C23.550.767.050
D000347,Afibrinogenemia,Afibrinogenemia,"Deficiency, Fibrinogen|Congenital Afibrinogenemia|Familial Afibrinogenemias|Familial Afibrinogenemia|Congenital Afibrinogenemias|Congenital Afibrinogenaemia|Afibrinogenemias, Familial|Afibrinogenaemia, Congenital|Hypofibrinogenemias, Congenital|Fibrinogen Deficiencies|Hypofibrinogenemia, Congenital|Afibrinogenemia|Congenital Hypofibrinogenemia|Afibrinogenemias, Congenital|Fibrinogen Deficiency|Afibrinogenemia, Familial|Congenital Hypofibrinogenemias|Congenital Afibrinogenaemias|Afibrinogenemias|Afibrinogenemia, Congenital|Afibrinogenaemias, Congenital",C15.378.100.100.056|C16.320.099.056|C15.378.463.067|C15.378.100.141.072
D000355,African Horse Sickness,African Horse Sickness,"Equine Plagues|African Horsesicknesses|African Horse Sicknesses|Sicknesses, African Horse|African Horse Sickness|Equine Plague|African Horsesickness|Plagues, Equine|Horse Sickness, African|Sickness, African Horse|Plague, Equine|Horsesickness, African|Horsesicknesses, African|Horse Sicknesses, African",C01.920.313.030|C01.925.081.030|C01.925.782.791.142|C22.488.088
D000357,African Swine Fever,African Swine Fever,"Wart Hog Disease|Infections, Asfivirus|African Swine Fever|African Swine Fever Virus Infection|Wart-Hog Disease|Wart-Hog Diseases|Asfivirus Infections|Asfivirus Infection|Infection, Asfivirus|Swine Fever, African",C01.925.081.078|C01.925.256.142|C22.905.072|C01.920.930.125
D011504,Agammaglobulinemia,Agammaglobulinemia,Agammaglobulinemia|Agammaglobulinemias|Hypogammaglobulinemias|Hypogammaglobulinemia,C15.604.515.032|C20.673.088|C15.378.147.142
D000370,Ageusia,Ageusia,"Taste-Blindness|Taste Blindness|Taste Loss|Hypogeusias|Hysterical Ageusias|Hysterical Ageusia|Hypogeusia|Ageusias, Hysterical|Ageusia|Loss of Taste|Ageusia, Hysterical",C10.597.751.861.184|C23.888.592.763.861.184
D000380,Agranulocytosis,Agranulocytosis,Granulocytopenias|Agranulocytoses|Granulocytopenia|Agranulocytosis,C15.378.243.750.184|C15.378.553.546.184
